190930.34	786030.68
190932.34	786030.75
190934.34	786030.81
190936.34	786030.88
190938.34	786030.94
190940.29	786031
190942.29	786031.07
190944.29	786031.13
190946.29	786031.2
190948.29	786031.26
190950.37	786031.32
190952.37	786031.39
190954.37	786031.45
190956.37	786031.52
190958.37	786031.58
190960.61	786031.64
190962.61	786031.71
190964.61	786031.77
190966.61	786031.84
190968.61	786031.9
190970.61	786031.96
190972.61	786032.03
190974.61	786032.09
190976.61	786032.16
190978.61	786032.22
190980.04	786032.29
190979.91	786034.29
190979.77	786036.29
190979.64	786038.29
190979.51	786040.29
190979.37	786042.37
190979.24	786044.37
190979.1	786046.37
190978.97	786048.37
190978.84	786050.37
190978.7	786052.57
190978.57	786054.57
190978.44	786056.57
190978.3	786058.57
190978.17	786060.57
190978.03	786062.32
190977.9	786064.32
190977.77	786066.32
190977.63	786068.32
190977.5	786070.32
190977.37	786072.42
190977.23	786074.42
190977.1	786076.42
190976.96	786078.42
190976.83	786080.42
190976.7	786081.72
190974.7	786081.69
190972.7	786081.66
190970.7	786081.63
190968.7	786081.6
190966.55	786081.57
190964.55	786081.53
190962.55	786081.5
190960.55	786081.47
190958.55	786081.44
190956.47	786081.41
190954.47	786081.38
190952.47	786081.35
190950.47	786081.32
190948.47	786081.29
190946.27	786081.26
190944.27	786081.23
190942.27	786081.2
190940.27	786081.17
190938.27	786081.14
190936.17	786081.11
190934.17	786081.08
190932.17	786081.05
190930.17	786081.02
190928.17	786080.99
190927.21	786080.96
190927.35	786078.96
190927.49	786076.96
190927.62	786074.96
190927.76	786072.96
190927.9	786070.56
190928.04	786068.56
190928.18	786066.56
190928.31	786064.56
190928.45	786062.56
190928.59	786060.16
190928.83	786058.16
190929.08	786056.16
190929.32	786054.16
190929.57	786052.16
190929.81	786050.19
190929.81	786048.19
190929.81	786046.19
190929.81	786044.19
190929.81	786042.19
190929.81	786039.99
190929.92	786037.99
190930.02	786035.99
190930.13	786033.99
190930.24	786031.99
190939.94	786032.3
190939.58	786034.3
190939.22	786036.3
190938.87	786038.3
190938.51	786040.3
190938.46	786042.35
190938.42	786044.35
190938.37	786046.35
190938.33	786048.35
190938.28	786050.35
190938.21	786052.65
190938.14	786054.65
190938.08	786056.65
190938.01	786058.65
190937.94	786060.65
190937.88	786062.3
190937.82	786064.3
190937.77	786066.3
190937.71	786068.3
190937.65	786070.3
190937.35	786073.11
190937.06	786075.11
190936.76	786077.11
190936.46	786079.11
190946.58	786079.19
190946.9	786077.19
190947.22	786075.19
190947.53	786073.19
190947.85	786071.19
190947.97	786069.49
190948.09	786067.49
190948.2	786065.49
190948.32	786063.49
190948.44	786061.49
190948.46	786059.57
190948.48	786057.57
190948.49	786055.57
190948.51	786053.57
190948.53	786051.57
190948.55	786049.07
190948.56	786047.07
190948.58	786045.07
190948.59	786043.07
190948.61	786041.07
190948.96	786039.32
190949.32	786037.32
190949.67	786035.32
190950.02	786033.32
190960.49	786033.94
190960.37	786035.94
190960.25	786037.94
190960.13	786039.94
190960.01	786041.94
190960.01	786044.14
190960.02	786046.14
190960.02	786048.14
190960.03	786050.14
190960.03	786052.14
190959.95	786054.04
190959.87	786056.04
190959.8	786058.04
190959.72	786060.04
190959.64	786062.04
190959.43	786063.44
190959.22	786065.44
190959.02	786067.44
190958.81	786069.44
190958.6	786071.44
190958.17	786073.41
190957.75	786075.41
190957.32	786077.41
190956.89	786079.41
190966.79	786079.86
190967.03	786077.86
190967.27	786075.86
190967.51	786073.86
190967.75	786071.86
190967.96	786070.31
190968.17	786068.31
190968.37	786066.31
190968.58	786064.31
190968.79	786062.31
190968.84	786060.06
190968.89	786058.06
190968.93	786056.06
190968.98	786054.06
190969.03	786052.06
190969.17	786050.26
190969.3	786048.26
190969.44	786046.26
190969.57	786044.26
190969.71	786042.26
190969.89	786039.96
190970.07	786037.96
190970.25	786035.96
190970.43	786033.96
190977.71	786042.34
190975.71	786042.32
190973.71	786042.3
190971.71	786042.28
190968.01	786042.2
190966.01	786042.14
190964.01	786042.07
190962.01	786042.01
190956.61	786041.77
190954.61	786041.6
190952.61	786041.42
190950.61	786041.25
190946.51	786040.92
190944.51	786040.77
190942.51	786040.61
190940.51	786040.46
190937.81	786040.24
190935.81	786040.18
190933.81	786040.11
190931.81	786040.05
190930.28	786050.22
190932.28	786050.25
190934.28	786050.29
190936.28	786050.32
190940.53	786050.6
190942.53	786050.84
190944.53	786051.09
190946.53	786051.33
190952.03	786051.69
190954.03	786051.8
190956.03	786051.92
190958.03	786052.03
190961.03	786052.13
190963.03	786052.11
190965.03	786052.1
190967.03	786052.08
190970.7	786052.16
190972.7	786052.26
190974.7	786052.36
190976.7	786052.46
190976.79	786062.31
190974.79	786062.31
190972.79	786062.31
190970.79	786062.31
190967.64	786062.26
190965.64	786062.21
190963.64	786062.15
190961.64	786062.1
190956.44	786061.93
190954.44	786061.82
190952.44	786061.71
190950.44	786061.6
190945.94	786061.33
190943.94	786061.16
190941.94	786060.99
190939.94	786060.82
190936.59	786060.55
190934.59	786060.46
190932.59	786060.36
190930.59	786060.26
190929.65	786070.51
190931.65	786070.46
190933.65	786070.41
190935.65	786070.35
190939.85	786070.48
190941.85	786070.66
190943.85	786070.84
190945.85	786071.02
190950.6	786071.24
190952.6	786071.29
190954.6	786071.34
190956.6	786071.39
190959.75	786071.53
190961.75	786071.61
190963.75	786071.7
190965.75	786071.78
190969.37	786071.97
190971.37	786072.08
190973.37	786072.19
190975.37	786072.3
